sample	path	BTau_norm	TTau_norm	BTau	TTau	totalCounts	name
1945_TCX		0.2684067240591818	422.7681192879866	39	61429	145301874	1945_TCX.snap.bam
11340_TCX		0.36417497179829017	288.3329326714977	35	27711	96107648	11340_TCX.snap.bam
11259_TCX		0.47233396912146614	408.3626529655222	71	61384	150317370	11259_TCX.snap.bam
11493_TCX		0.5254962181963996	291.43144434141993	60	33275	114177796	11493_TCX.snap.bam
11271_TCX		0.47976434495798004	447.92100301127755	59	55084	122977042	11271_TCX.snap.bam
1944_TCX		0.2736175359254529	165.31794993173332	31	18730	113296832	1944_TCX.snap.bam
11404_TCX		0.4494248297716324	391.870935754959	49	42725	109028244	11404_TCX.snap.bam
1015_TCX		0.8800615886656673	357.43945885208484	144	58486	163624912	1015_TCX.snap.bam
11287_TCX		0.5714807848158318	146.6880053358526	72	18481	125988488	11287_TCX.snap.bam
11433_TCX		0.4817511171356765	292.22219846921575	48	29116	99636510	11433_TCX.snap.bam
11424_TCX		0.6937488561027384	246.1652191071217	66	23419	95135292	11424_TCX.snap.bam
1942_TCX		0.5032707744215895	285.63706707566394	57	32351	113259110	1942_TCX.snap.bam
1045_TCX		0.601029355123941	358.6337275607034	123	73394	204648906	1045_TCX.snap.bam
11253_TCX		0.2156336017321899	485.12385183301154	25	56244	115937404	11253_TCX.snap.bam
1937_TCX		0.17720195580330075	386.7728022000045	21	45836	118508850	1937_TCX.snap.bam
11472_TCX		0.3381377469352836	218.6856152164691	34	21989	100550738	11472_TCX.snap.bam
11387_TCX		0.4966883081288099	366.3452551471283	33	24340	66440058	11387_TCX.snap.bam
1172_TCX		0.4869346863038734	215.13873970841942	62	27393	127327138	1172_TCX.snap.bam
11499_TCX		0.379757332302787	468.88522741445627	66	81490	173795196	11499_TCX.snap.bam
1964_TCX		0.3626084784812265	389.8796578003354	48	51610	132374180	1964_TCX.snap.bam
11471_TCX		0.7531637674697723	166.78217027643788	95	21037	126134586	11471_TCX.snap.bam
1275_TCX		0.3415310369026083	297.3297306003181	38	33082	111263680	11275_TCX.snap.bam
11469_TCX		0.8709798068217773	375.6897044791008	82	35370	94146844	11469_TCX.snap.bam
11275_TCX		0.3415310369026083	297.3297306003181	38	33082	111263680	11275_TCX.snap.bam
1098_TCX		0.3605862935759996	406.30483995624076	38	42818	105383928	1098_TCX.snap.bam
11309_TCX		0.31235684016679066	289.4387725796959	35	32432	112051332	11309_TCX.snap.bam
11353_TCX		0.3536580177849141	294.48304558328994	62	51626	175310602	11353_TCX.snap.bam
11317_TCX		0.5713717492957091	398.7773847452965	57	39782	99759920	11317_TCX.snap.bam
11445_TCX		0.3327797889801567	368.94443907095376	43	47673	129214578	11445_TCX.snap.bam
7095_TCX		0.050497057687939696	55.184867876636766	6	6557	118818804	7095_TCX.snap.bam
11377_TCX		0.32757191756524096	358.60632368123674	27	29558	82424648	11377_TCX.snap.bam
11381_TCX		0.49034154169361266	405.19091954344157	61	50407	124403084	11381_TCX.snap.bam
11321_TCX		0.29958546535385727	211.05796034179247	34	23953	113490152	11321_TCX.snap.bam
1960_TCX		0.18621973374391854	322.8007352610582	25	43336	134250004	1960_TCX.snap.bam
11388_TCX		0.3828251156894255	384.7262641453069	59	59293	154117370	11388_TCX.snap.bam
11497_TCX		0.32842572249964164	298.44319091644513	48	43618	146151768	11497_TCX.snap.bam
1046_TCX		0.3921771572721745	265.977816204966	48	32554	122393666	1046_TCX.snap.bam
6913_TCX		0.7284354070918126	370.40052114756367	82	41696	112570036	6913_TCX.snap.bam
1005_TCX		0.31938060845655974	288.674444243522	42	37962	131504540	1005_TCX.snap.bam
11468_TCX		0.2351640105299295	123.36703992400102	25	13115	106308784	11468_TCX.snap.bam
11337_TCX		0.38986923054008316	228.41563000703485	49	28708	125683168	11337_TCX.snap.bam
11482_TCX		0.3663344775529072	417.8904481081082	49	55896	133757544	11482_TCX.snap.bam
1029_TCX		0.607556223486597	321.92690662437246	78	41330	128383180	1029_TCX.snap.bam
1936_TCX		0.3928350846326712	352.335658050303	42	37670	106915094	1936_TCX.snap.bam
1935_TCX		0.3970880512121056	361.0381288484923	42	38187	105769992	1935_TCX.snap.bam
7015_TCX		0.5581615892496778	352.72279772293246	79	49923	141536074	7015_TCX.snap.bam
11385_TCX		0.4810976724494607	380.371012396621	76	60088	157972080	11385_TCX.snap.bam
11389_TCX		0.4302509122578611	226.4169190945271	41	21576	95293232	11389_TCX.snap.bam
1955_TCX		0.1976770036337234	392.0305626438548	16	31731	80940118	1955_TCX.snap.bam
1932_TCX		0.17015452910781176	195.57299799453253	26	29884	152802280	1932_TCX.snap.bam
1105_TCX		0.444045778403238	397.1989487816964	68	60826	153137364	1105_TCX.snap.bam
11399_TCX		0.5824042123079782	334.393954028055	62	35598	106455274	11399_TCX.snap.bam
11334_TCX		0.5380404338731156	327.22946637620555	64	38924	118950168	11334_TCX.snap.bam
6880_TCX		0.4920578728051871	354.3353474604043	55	39606	111775470	6880_TCX.snap.bam
11502_TCX		0.2197308715070387	203.83447949249503	29	26902	131979634	11502_TCX.snap.bam
1058_TCX		0.2722207331860142	362.23505562618953	27	35928	99184216	1058_TCX.snap.bam
1924_TCX		0.35911239129460737	151.60067718652346	39	16464	108601098	1924_TCX.snap.bam
11403_TCX		0.3154666256139431	327.73226846221854	42	43633	133136112	11403_TCX.snap.bam
11320_TCX		0.42589159476145283	345.7620270779708	55	44652	129140844	11320_TCX.snap.bam
11249_TCX		0.9066549009867261	336.93803889541806	94	34933	103677816	11249_TCX.snap.bam
1078_TCX		0.877744683487286	264.4732505815541	100	30131	113928346	1078_TCX.snap.bam
11416_TCX		0.5914540540031457	231.7972480433984	157	61530	265447500	11416_TCX.snap.bam
744_TCX		0.4123090287656015	349.010222190337	44	37245	106716072	744_TCX.snap.bam
1183_TCX		0.5117742220366519	225.73895684743954	55	24260	107469266	1183_TCX.snap.bam
1166_TCX		0.5887797674204304	265.97858366050934	55	24846	93413536	1166_TCX.snap.bam
6952_TCX		0.5517969328428799	317.32411023153315	54	31054	97862088	6952_TCX.snap.bam
11396_TCX		1.0325843756897741	248.17807643434912	101	24275	97812830	11396_TCX.snap.bam
1047_TCX		0.4787631619706632	394.51148464520367	45	37081	93992194	1047_TCX.snap.bam
